ppm Intensity
1.053896327506384800e+01 -1.717550717984047651e+03
1.053859659814378702e+01 -2.003562301227540956e+03
1.053822992122372604e+01 -2.196090979832401445e+03
1.053786324430366506e+01 -2.336996239354812133e+03
1.053749656738360407e+01 -2.316492877069973019e+03
1.053712989046354309e+01 -2.484691296162678555e+03
1.053676321354348211e+01 -2.201101328549776554e+03
1.053639653662342113e+01 -1.764717229871116388e+03
1.053602985970336015e+01 -2.613005774109957656e+03
1.053566318278329916e+01 -2.544118112739609387e+03
1.053529650586323818e+01 -1.886622769273300719e+03
1.053492982894317720e+01 -2.314974192114513244e+03
1.053456315202311622e+01 -2.173532839819913534e+03
1.053419647510305523e+01 -2.445566703249154216e+03
1.053382979818299425e+01 -2.514729098114865337e+03
1.053346312126293327e+01 -1.485049823076589519e+03
1.053309644434287229e+01 -1.915498236535214573e+03
1.053272976742281131e+01 -1.583236093532858149e+03
1.053236309050275032e+01 -2.081365077048404601e+03
1.053199641358268934e+01 -1.700962123300094163e+03
1.053162973666262836e+01 -1.704428940716602710e+03
1.053126305974256738e+01 -1.153144672217835932e+03
1.053089638282250640e+01 -2.104627181744272093e+03
1.053052970590244541e+01 -2.305289351325702683e+03
1.053016302898238443e+01 -3.036411960707364415e+03
1.052979635206232345e+01 -2.111264770876336115e+03
1.052942967514226247e+01 -1.962867548275310128e+03
1.052906299822220149e+01 -2.058798543356346272e+03
1.052869632130214050e+01 -1.895810422883064348e+03
1.052832964438207952e+01 -2.046321946175514768e+03
1.052796296746201854e+01 -2.002498942600060673e+03
1.052759629054195756e+01 -1.414759392625645432e+03
1.052722961362189658e+01 -1.435439216687889257e+03
1.052686293670183559e+01 -2.308952528606396754e+03
1.052649625978177461e+01 -2.112879492500497236e+03
1.052612958286171363e+01 -2.199574270428327509e+03
1.052576290594165265e+01 -2.188650935456039861e+03
1.052539622902159167e+01 -2.661997691198426310e+03
1.052502955210153068e+01 -2.216680576746006409e+03
1.052466287518146970e+01 -1.535127693583807513e+03
1.052429619826140872e+01 -1.518197298892019262e+03
1.052392952134134774e+01 -2.083004158623931289e+03
1.052356284442128675e+01 -1.982716201688612045e+03
1.052319616750122577e+01 -1.755912244008082780e+03
1.052282949058116479e+01 -2.004057597372107466e+03
1.052246281366110381e+01 -1.593470594279248189e+03
1.052209613674104283e+01 -1.893977973062505725e+03
1.052172945982098184e+01 -1.242572035120540932e+03
1.052136278290092086e+01 -1.206965804316838330e+03
1.052099610598085988e+01 -2.132130539064978620e+03
1.052062942906079890e+01 -1.669028216591380669e+03
1.052026275214073792e+01 -2.142208892932640083e+03
1.051989607522067693e+01 -2.020051387878859941e+03
1.051952939830061595e+01 -1.563425052191479381e+03
1.051916272138055497e+01 -1.569296667491951666e+03
1.051879604446049399e+01 -2.333235337600747243e+03
1.051842936754043301e+01 -2.164258385632967475e+03
1.051806269062037202e+01 -2.335254893828752301e+03
1.051769601370031104e+01 -2.236489347508882020e+03
1.051732933678025006e+01 -1.573487041542653515e+03
1.051696265986018908e+01 -2.248505909485567827e+03
1.051659598294012810e+01 -1.807892997057166667e+03
1.051622930602006711e+01 -1.458662635910176277e+03
1.051586262910000613e+01 -1.856398497996506421e+03
1.051549595217994515e+01 -2.581927746698660940e+03
1.051512927525988417e+01 -1.782066204332240886e+03
1.051476259833982319e+01 -2.672822627962638762e+03
1.051439592141976220e+01 -2.026803090505442924e+03
1.051402924449970122e+01 -1.966191684148762761e+03
1.051366256757964024e+01 -1.968394913281287245e+03
1.051329589065957926e+01 -2.128089272387765959e+03
1.051292921373951827e+01 -2.418472542468650317e+03
1.051256253681945729e+01 -1.361893348281922272e+03
1.051219585989939631e+01 -1.184852636300667655e+03
1.051182918297933533e+01 -1.781069108275961980e+03
1.051146250605927435e+01 -1.793765804719482730e+03
1.051109582913921336e+01 -2.267989489027413583e+03
1.051072915221915238e+01 -2.188845226598775298e+03
1.051036247529909140e+01 -1.304587463089117364e+03
1.050999579837903042e+01 -2.695696919883018381e+03
1.050962912145896944e+01 -2.272534692233900842e+03
1.050926244453890845e+01 -1.896592581425577009e+03
1.050889576761884747e+01 -1.464542392446730901e+03
1.050852909069878649e+01 -2.356656118220733788e+03
1.050816241377872551e+01 -1.721204255383705458e+03
1.050779573685866453e+01 -1.297419801136471960e+03
1.050742905993860354e+01 -1.936478346301899364e+03
1.050706238301854256e+01 -1.466555638558545525e+03
1.050669570609848158e+01 -1.178756496491638018e+03
1.050632902917842060e+01 -1.682025021600199580e+03
1.050596235225835962e+01 -2.009804708108125851e+03
1.050559567533829863e+01 -1.062576400413423698e+03
1.050522899841823765e+01 -2.341771611214642689e+03
1.050486232149817667e+01 -1.729706316639189481e+03
1.050449564457811569e+01 -1.829192547901782063e+03
1.050412896765805471e+01 -1.838459875184668590e+03
1.050376229073799372e+01 -1.665482609807294239e+03
1.050339561381793274e+01 -1.679785794042047655e+03
